account_id,account_iban,account_currency,account_open_date,account_close_date
c5ab0a15-5f4c-4993-856b-ba6762f6a455,CH3561968585399754738,CHF,2013-04-11,
48fa5bc7-9408-42ec-a4a5-18b038dc5a11,DAUWPA6371G,PAB,2022-06-07,
d5d0fe77-0d6e-4013-a4c4-af243be66f8d,CH6983510176060328354,CHF,2015-12-10,
b392f5f6-e1f0-43b9-8e57-d95d2d2400f2,CH5798262415493751837,CHF,2019-10-09,
33293396-7bce-4276-bac4-6e0961adab35,CH9279124677076517552,CHF,2016-02-10,
e6cd412a-a65b-4904-93e7-ede80153cc31,CH9526302373268173628,CHF,2015-01-18,
cd2a1d48-f260-497e-8f51-5344b8e81d83,CH2774784884043139427,CHF,2019-12-31,
28f558ac-2de8-4d42-a80e-66758dd8cc63,CH5741993194172876914,CHF,2020-08-12,
008bd5a7-77e2-4134-9dae-f88fbf1f63d3,CH3448583257323880624,CHF,2017-06-11,
2bcab5dd-841e-499b-abd8-6b7efdb5f959,CH2249272165668807514,CHF,2010-02-18,
38c09c86-d26f-4ade-9854-0daf5acb3c22,CH2766213853697154255,CHF,2010-06-30,
e98724df-ce39-49de-b97b-31f4719ddb94,ZIYOPAIRLV9,PAB,2020-08-14,
9870dd9b-69da-4d65-9ff1-d6c3ff44c3ac,CH5915848582108242655,CHF,2013-11-18,
e201b74b-04ef-424f-8394-c8a1c1f4bf55,CH8964805879507275703,CHF,2019-06-27,
243e20df-0d76-40c0-a93f-574db30c2499,CH8203930887107567256,CHF,2019-05-13,
164bd7af-81f7-4f79-896f-4fc52d5c140a,CH2929194619701785870,CHF,2011-06-14,
8c97de31-4e25-4068-9a45-dbea26996a31,CH4087100613400673776,CHF,2022-10-24,
a79e6fdf-5c59-4936-8008-15764a4b5ef8,CH8169036325134908586,CHF,2013-07-10,
2bde4595-178a-4daa-adda-e28deb444bd2,CH2978171098691117494,CHF,2015-12-31,
555add69-5a26-490f-9c42-6859e4da1938,CH3173462741202451725,CHF,2011-12-08,
80136469-4795-4959-bf9b-af76e2e98bea,CH6577307449378467351,CHF,2018-10-23,
b3763742-fb3a-4247-bd6f-683dbd6b1689,CH7099666066063832434,CHF,2010-10-21,
2ad7abd4-3edb-4cd7-8881-20abf293d30e,CH6265362355216266931,CHF,2014-04-11,
92f15e81-1c08-4946-9e6f-561796caf3dd,CH4882770742515663227,CHF,2022-05-15,
4cc758be-e529-40cd-a595-ed9a8838107e,CH1052921018553067097,CHF,2017-02-24,
06fcd3e9-333c-4fc2-a6f9-479d0c9a1d15,CH3040051516721124035,CHF,2011-10-23,
9600ab8d-8a13-4d09-89f7-c0d949c9501a,CH7054631818117910742,CHF,2018-09-14,
1b6f59f7-0a82-4787-add8-82e7d1ef19ae,CH6125289292655104287,CHF,2019-04-13,
4b893f45-1fa6-4767-931c-eddea55ff788,CH4868042124830504505,CHF,2015-10-08,
8b478d93-40b9-4a17-a3e3-14b34daedc1b,CH7741863387825372018,CHF,2018-05-22,
c8b2209a-5872-41d1-b366-3d6dadaa0894,CH3600661766548986417,CHF,2017-10-11,
0c34af15-29bf-4715-b85f-38d6ca3450fc,CH2192478136966536813,CHF,2019-07-29,
57c0ac27-9900-4b8b-ad78-c8825c5c93c3,CH5554396001670894190,CHF,2017-01-22,
9f9253fd-1d55-42ab-b801-52d795e05c40,ZGBTPARBWLH,PAB,2015-08-14,
12f7116c-2e3f-4c8a-9263-03ecc5aac275,CABQPA9D3MB,PAB,2016-08-06,
8084b13e-f253-4ec4-b1a8-ae4bd543aaa8,CH2167242119251412675,CHF,2018-02-01,
af636a72-38c2-4303-a05d-d509b2d9c3ef,CH0254792806102797350,CHF,2011-01-04,
5486c37a-4967-478b-9f07-60592bd71b65,CH8123418552623384471,CHF,2011-06-23,
4497a1d4-4b40-45e8-8f1d-4c2d98bcfd51,CH3277018913722188156,CHF,2018-01-06,
9bc4c8c8-f121-43f4-94bb-efc4ade74128,CH2363338374603450858,CHF,2016-07-21,
537c62f8-d8d0-46d0-9feb-ab313dbb4345,CH7615729466718096966,CHF,2012-01-01,
6d0a08ee-dc15-4428-9387-702391425ee6,CH7138127021381989594,CHF,2012-06-15,
2a1c6810-302f-4489-a7a5-18f3d4b667dc,CH5132731028057982987,CHF,2022-10-04,
4a131e58-3b16-40cd-8a2f-722881ee803f,FR6624802299928777826473947,EUR,2016-06-26,
6784f7d2-173b-4acd-ac67-3c005bae2cfd,CH6698197166332375955,CHF,2022-06-26,
4fcbfd92-1e17-4325-9f68-d4f143f157ee,CH7739049259362975965,CHF,2017-05-04,
651d735f-d1c3-46ad-ae11-74e8f6214e40,CH3465515310083844481,CHF,2016-07-08,
4fb6fc44-cbdb-45df-b865-b73e23543964,CH1155274768498424188,CHF,2010-01-15,
6df4e1a8-b1d4-45f9-82a9-490abb0ce228,CH8015586198078867345,CHF,2018-07-26,
7dad22e6-aa3b-4104-9d75-b804e8fc0505,CH9440878105818356728,CHF,2013-09-15,
eb59e1a0-2d86-49f0-a6fe-6cf01a25735e,FUXJPAS0,PAB,2018-08-02,
d3e8366e-7b24-4649-acc3-1e1bc7ba0498,CH4745128687070664335,CHF,2016-03-27,
968326a4-018b-4c5a-95fc-b3bfa34b40bc,FR7421087867504182328584464,EUR,2010-01-11,
f90f5c3d-ee59-4892-bcfd-d3931a3c91a6,CH0974340525729013336,CHF,2014-07-15,
55fbbaa1-6b4b-4bdd-8b3a-8a47c435701e,CH8603692826431838481,CHF,2013-06-01,
7acd464d-8dee-4c3b-9e84-e7ff29f8e81c,FR7566575418703734834920064,EUR,2014-07-19,
54842cac-c658-45c6-bcab-01bf735f40c7,CH5735273866609484717,CHF,2014-10-30,
daa3d228-6fc2-43b3-97a7-c96d6dad95aa,CH9490580205223683810,CHF,2011-06-26,
fe8130c5-0a03-4dac-8e7e-233dc8a39653,CH1693427178821565272,CHF,2014-03-10,
efb364bc-b7d3-48d8-a28e-ad62830c4b15,CH6633552769665228235,CHF,2013-03-26,
ef30ef8d-dfbb-465c-8c3d-4aa9814445e5,CH3790282340047700383,CHF,2017-05-12,
8394de95-df48-44e0-9f2b-4efa44d6b5ee,CH7139111876863746796,CHF,2017-03-02,
db59730f-c17a-42f9-81f4-5622b9c98954,CH6583832630389171413,CHF,2017-07-17,
94808410-e50d-4f9b-9947-6f7b5f9ab3e1,CH3681722110058809422,CHF,2012-07-17,
8e2fea27-f232-4bc0-bc6f-12b0ac59d196,CH5184808169453340317,CHF,2013-11-27,
0e88bdea-16a4-40fc-9e96-f51b971cf3dd,CH1023437212098397051,CHF,2020-01-08,
e2043ac4-c8af-4a0c-97c9-3e8ae413a110,CH8342803371277015397,CHF,2016-02-12,
456acc9d-4d2d-4586-b66b-3f33cfa08fc2,CH3828425824199270567,CHF,2020-09-14,
38cb857f-aec4-4174-95d8-8ef681ba1809,CH6209557106456230550,CHF,2015-08-24,
bb048dd3-fef7-4614-8447-13f55b62f6e2,DE35146237269819432138,EUR,2021-03-21,
651fa431-9388-40ff-9791-dcde7e7fdd83,CH8314742359608594245,CHF,2017-01-07,
688f64fa-3d2a-49c0-be09-f9a5a3d44001,CH5617479165219772285,CHF,2017-09-04,
e34a984c-136d-44ed-be58-6525e4bd657c,CH5410979777288826524,CHF,2016-04-12,
0f6d906b-2647-4226-b6e3-8ff7881728e6,CH4528287859033738473,CHF,2014-06-14,
de342f97-5f5e-49f3-9a0e-5ceb77c84911,CH8327985389336339417,CHF,2011-07-26,
95e4608c-bba5-4883-9412-b7c0b59e598e,CH3816438269069943901,CHF,2022-05-29,
521c258f-80e0-4e5e-af3d-28277a41732e,CH6067828766876578637,CHF,2016-07-28,
e5b96034-31e9-4b72-8619-d1c223a73947,CH6141735814215714920,CHF,2014-09-08,
9f937c6f-188e-4eb7-b158-b61a15320e69,CH6726237131266112623,CHF,2011-01-18,
8fc2d61e-4b2a-4f6b-a9b6-c378df86bbc4,CH3626904219345365900,CHF,2012-12-19,
0387db81-d81a-4b6f-8dcf-4db2e0a7adaa,CH1588487859696728782,CHF,2015-05-04,
57bde91f-0a2f-482e-935b-b6d17836af97,CH0409322368139100599,CHF,2016-11-22,
c60bb349-6af5-472b-b8c1-0668260f0bfb,CH3129384452057322257,CHF,2021-06-01,
948892b9-e6c0-476a-a93b-2312cafe2d02,CH0251988090044472446,CHF,2019-07-30,
5f458627-8402-40e2-b0bc-d4d3adc72724,CH7074102860378418082,CHF,2019-01-28,
a991754f-99ec-4aef-8794-7eff981fb734,CH1392005450945893975,CHF,2017-04-29,
78bde729-3ec7-4f61-bd2f-a83959ae0c3b,CH9859254553880691262,CHF,2019-04-18,
34c32870-6aa3-4500-a568-01cc98693b17,CH0230129202093699293,CHF,2013-04-18,
4b02bb0f-2571-47e5-8ad1-d0febad1f77e,CH0705605849982347966,CHF,2012-02-13,
7d0b17fc-668e-4335-9762-ef3e71a93321,CH2224068576172153419,CHF,2018-05-15,
2a11d72d-41d4-4c44-bf5f-1385a9accedb,CH4537087961755864301,CHF,2016-05-02,
d8a25435-f422-4b05-b5d8-9dcf23987775,CH3293028202997807704,CHF,2017-02-10,
7e30deed-95d5-420d-be32-56aab5c6a853,CH5677228734857461450,CHF,2013-11-04,
c004b533-5717-4cf1-8b31-43ab548bb748,CH2783918187286231036,CHF,2021-06-04,
48e8229d-0ae7-4355-b581-3566b2a80c2e,CH6195155026220067128,CHF,2018-05-20,
19a3da85-c75c-4222-a64a-562dc75708fb,CH6753439130217197531,CHF,2019-02-08,
0f53afee-22a8-4191-ab91-a7f067f75877,CH5206556241563244776,CHF,2013-11-04,
a935d00b-8899-4e05-a5fc-f62199b1f972,CH8993357256609427164,CHF,2019-02-03,
7b3f838e-3853-41b8-824b-56302b2354b8,CH1933745538846977640,CHF,2012-05-19,
f98b8f8e-fdcf-4677-9f71-d135289d2789,CH0319633255867443126,CHF,2012-12-19,
1f2391ce-291b-42c8-b809-9bac5baa3dda,CH2324013324786021071,CHF,2012-08-31,
163cf098-9070-4dde-a1ee-845e41f3129e,CH3214516811162700331,CHF,2013-05-10,
5ce01fe1-ddf1-4315-ad9a-5f26781be49a,CH0374832542491659239,CHF,2014-12-08,
6f45c78f-07ac-46cf-b0b2-0b299391c858,CH4692374629556832303,CHF,2018-02-12,
a6fa0e12-d33a-40c6-a532-998d0e02045d,FR0889297208860625853750588,EUR,2013-04-03,
b62c52f1-3ecf-43b4-9a56-02ecf4dc0c66,CH2463947761925555290,CHF,2019-06-06,
d523afcf-fb43-439b-b530-1efbc0a171d2,CH5884591370774186548,CHF,2020-10-09,
05ac7217-c445-44ae-944b-8c93971a1d7d,CH9628968988387913243,CHF,2022-01-27,
173aeff0-45f6-4232-8c3b-df617661290f,CH8455846320259730821,CHF,2013-08-14,
cf05772e-5075-47e5-9829-681dff5bde67,CH2962114138463657711,CHF,2015-07-17,
c437200d-d904-44a4-a175-b66a99d844e0,CH0643223539008108884,CHF,2022-12-15,
925c540c-9d44-446e-b756-a75814cae540,CH1382477503715623518,CHF,2022-05-10,
c46859d1-d317-4efa-8db3-cce60b9854fd,FR4173401192733271388720835,EUR,2011-03-15,
eb5fd334-67c7-4e5d-b5c5-268d0452ae05,CH8567829840297809698,CHF,2010-06-14,
74c7f941-b1da-4afc-b4e1-90cc9cb69dc8,CH6626100738879110917,CHF,2019-02-20,
a8e5cba9-c90c-4bb5-aef3-89d70c6cf4df,CH7414221484504260600,CHF,2019-03-05,
a9ca0b83-bd3f-4d58-b439-617a74389b44,CH9064980464190286015,CHF,2012-09-14,
64d9d19a-9ea1-42ec-aacb-67d625b81c6d,CH6054362126814861084,CHF,2016-12-04,
eee1c46d-bad4-447f-ba7b-f57c9b96ccb5,CH0500807007508806644,CHF,2022-08-18,
52a14ef5-7188-4912-86ff-190e667e2d73,CH3439743256013788313,CHF,2021-06-09,
23f1f385-b1a0-4783-8782-5045abb0bb91,CH4560531220569007788,CHF,2021-07-16,
4cf6a12a-2563-4419-a31c-9e3a9a0c4f3e,CH4978474283888442679,CHF,2020-07-12,
6759001e-8d0c-4c52-b405-650ad2b3e6f3,CH8504535098317753369,CHF,2013-08-19,
9dfd5eea-e1f9-4b8e-862a-257831f3488c,CH3427443149812981664,CHF,2018-12-31,
1a85749e-182e-4b8a-89d4-056018c5bb73,CH8414650724956797017,CHF,2010-01-28,
7659ca5e-b820-472f-b240-5dafb2f6af2c,CH2266550361275495708,CHF,2015-07-18,
ccedba77-93ca-4bd6-94e4-852bdc284b6e,CH3403716240773587589,CHF,2022-07-30,
8bae463a-2b07-4ab9-8c03-73361d4ca75d,CH7887580114078271911,CHF,2010-07-13,
e9d3c1ae-35a7-4e6b-8dbb-32f2f85e3935,CH8742130302681518235,CHF,2011-08-15,
8fba38f7-315d-427b-8a3f-b3e5e35e3e8b,CH3337449482380863904,CHF,2016-10-25,
b0598738-48ca-4ba8-b9d1-64a5413908e2,CH4856929816730449567,CHF,2015-02-01,
7bfd2d3e-87cc-4ae6-a8a2-40e177c66768,CH4922587446457577564,CHF,2010-04-23,
5d1edd92-6282-49d2-8303-5d496393f844,CH2547022320615839685,CHF,2013-08-10,
37ac97c3-dc18-45a8-83aa-e91c6463883a,CH2819711509381508737,CHF,2014-10-04,
380dbbef-8382-4047-8797-0bc4c13edb2b,FR2408487619935679594419345,EUR,2015-08-24,
a1e185f7-af85-4472-932e-12a361c63a72,CH0350962734975186762,CHF,2014-08-18,
d8d39fe5-73ed-4d7c-aee3-e93f84f3bb4b,CH4009529827794511531,CHF,2020-01-17,
0036ae3b-89b6-4238-9192-af89312efd68,CH6616501610742311410,CHF,2013-10-26,
61bdf127-0425-4105-8417-c21c8b79c6ee,CH2841791604879351465,CHF,2018-09-04,
4c283638-468c-40a2-81cb-4bb360ff3f4a,HOZVPAZX,PAB,2019-09-30,
0a06f568-536f-4b7f-b1c9-cc7872bf49cd,EAVTPARU,PAB,2016-02-15,
7a4ff60f-82ac-4de1-86dc-a4c96787f57a,CH6083736240221416811,CHF,2020-08-19,
a4eaec5d-e03b-460d-92ff-d39c6d9a09dd,CH6735238204839032717,CHF,2018-11-26,
9d50b292-0eff-4199-b80d-4ceaea43cc09,CH7131531188084862149,CHF,2020-10-07,
38a102e2-7502-422b-ad9f-c6384697c267,CH9410749849622911101,CHF,2018-04-03,
75c2b291-26c5-40fd-878b-ad5928977f9f,CH9786828870303452572,CHF,2019-07-19,
082c1451-6de0-472e-b219-09ca37ee0a09,CH3029016589397743743,CHF,2013-02-02,
c8fcf7d9-09c7-4118-a2f0-abfb690b9528,CH5259850386519761135,CHF,2014-08-24,
ad033858-f97e-4e54-a7d2-e03ae29a8591,CH5841379242653278773,CHF,2010-05-13,
ebbb99eb-b2f8-4c2a-bd35-fc0dd1c4e49c,CH5305887210082766676,CHF,2022-10-10,
2f575334-b0c2-45d7-bd02-e1676dbbc973,FR9332275008588553072246867,EUR,2021-07-22,
879f351e-11cc-4db3-acdf-487ac67e3afb,CH8669484609011946982,CHF,2019-09-10,
93bf8959-bd1b-453a-b321-784fc126139f,CH3896943653735389507,CHF,2018-03-08,
bc50f655-eb6f-4b8e-9df7-6ceeb5581ea7,CH4748254478546831992,CHF,2021-10-12,
c93a19e5-fbe9-4984-89a7-47621254eaa9,DE80481561426704851489,EUR,2019-01-07,
1f23a9d0-9cdb-43ab-a0bc-3a13d79ba676,CH5355438977651805284,CHF,2010-11-08,
19b5645f-a282-4d3a-9fba-d1146e02c9c9,CH8299343076520975272,CHF,2016-08-26,
fd08c1a7-570c-461e-9676-dec07da8b90b,CH5480367248521266015,CHF,2014-11-21,
57b71cd6-ef93-481b-88cc-6c6afe64943e,CH5647114580939420500,CHF,2022-01-09,
9d5fa648-1ecd-479f-8e11-02d2c827128d,CH0934919930245885741,CHF,2011-02-06,
179e61cb-1ccd-4844-a300-89f2041ad1af,CH9256319141722931181,CHF,2014-05-16,
05d6b979-764e-4291-864e-515599980396,CH0994872494318233697,CHF,2010-05-02,
f6c2898d-f190-495c-bef6-c2093643f514,CH1256374262241779373,CHF,2012-01-21,
428f3d1d-75c0-4ca8-b646-5cafd1536c96,CH4637997223877136943,CHF,2010-04-16,
45eded96-9c1c-4712-8d47-43e1e336d1fc,CH2786799750552628694,CHF,2012-11-25,
dec43807-541b-415b-b9d6-b3d7a754bae8,CH4165223064462393620,CHF,2021-05-30,
b84f1a6c-a2aa-4610-8fc4-03f2c09c4c60,CH3372682277674776767,CHF,2022-10-08,
d2371f78-1dc3-4bf2-b6d2-f50f7a354af1,CH9439962883187135287,CHF,2018-11-13,
f6bceee6-2b65-4a70-8fb2-25c52aebfecb,CH5525118772380860844,CHF,2013-05-29,
92eb0697-8af0-4e68-b49e-7dfb2e2b4555,CH2099305128271011109,CHF,2010-03-17,
e8ff7f28-81c3-445c-8bfe-66201283f359,CH9042179492100550081,CHF,2012-10-06,
566c3f92-3f3e-44c5-aaf2-62554d407c11,CH2303140954165177465,CHF,2018-12-27,
875dc640-605f-416e-a02c-dd983c97bbf5,CH3422799576876630362,CHF,2016-03-25,
c582826f-c914-4ba6-a2d8-33fa7098c6ae,CH0791905235226737044,CHF,2020-06-05,
e840fc9c-307a-42ac-bb76-f1ef28d0d4f6,CH5232532343276792287,CHF,2011-03-29,
df3fec92-16b1-4b5e-90e4-759fe084d447,CH5904209531158585690,CHF,2012-02-05,
c74c57a6-bc68-4e72-9ec2-f6c4f139e3b5,CH8050910360027955437,CHF,2022-07-19,
b4df1675-1751-48b7-81dd-173823fa2cc5,CH8864247769947583280,CHF,2017-06-08,
475d20b5-a009-4697-ae26-5f63b7506314,FR4267989323071853669627978,EUR,2014-02-06,
05160139-1c8e-4a36-9e3c-18527031e377,CH1286489968152241519,CHF,2020-10-21,
b7bd7008-e358-4c3f-b8fb-470d9bd5fe21,CH3122355485422791255,CHF,2020-03-21,
cd6fe3af-f4f9-4e25-a0bf-cdb0239e8878,CH4914080350183771173,CHF,2017-10-09,
c4e39192-951c-44ab-adfd-5bf3ac4dbf2f,FR3388742256398234230318737,EUR,2011-05-05,
133f1cb8-b15d-4589-85f1-682215a3e6ca,CH2002934961868883102,CHF,2016-08-20,
c9c9d5e6-28ea-4148-86d9-785540e15b0d,CH8093282471635636173,CHF,2015-04-20,
