partner_id,industry_gic2_code,partner_class_code,partner_gender,partner_name,partner_phone_number,partner_birth_year,partner_address,partner_open_date,partner_close_date
96a660ff-08e0-49c1-be6d-bb22a84e742e,Individual,I,F,Käthe Stutz,022 074 22 33,1978-11-07,"Schumacherstrasse 18
5989 Pratteln",2013-04-11,
aa1475e7-74ea-438f-bba8-e537c92cb4be,Individual,I,M,Matteo Mäder,+41 21 715 66 82,1965-01-06,"Merzstrasse 41
7133 Kloten",2015-12-10,
44216c25-6317-4d31-9ff9-3ee91922da22,Individual,I,F,Johanna Bauer,061 689 58 80,1986-09-06,"Ackermannstrasse 70
1990 Volketswil",2019-10-09,
dfc59f86-d2c9-4388-90e1-4e24e83ec3b9,Individual,I,M,Ronald Hofer,+41 41 612 35 12,1950-02-23,"Meilistrasse 558
2447 Wetzikon",2015-01-18,
9a3c6ce6-7c21-4013-8e08-f14aac6d098b,Individual,I,M,Richard Bachmann,052 863 54 94,1993-10-11,"Stalderstrasse 15
5748 Hinwil",2019-12-31,
94579e86-109d-4fa9-9598-57bcf8400337,Individual,I,F,Eliza Iten,021 297 16 48,1981-10-29,"Toblerstrasse 90
5126 Carouge",2020-08-12,
4e2c20df-62b3-415e-951c-d850290f2a38,Individual,I,F,Katja Geiger,+41 41 986 53 37,1993-05-10,"Gutstrasse 9
7330 St. Gallen",2017-06-11,
617a6268-2b41-417c-9338-81a713565ab8,Individual,I,F,Natacha Roos,022 055 45 28,1950-08-17,"Steinmannstrasse 54
8310 Mendrisio",2010-02-18,
05bab6dd-a21b-4e83-a9f4-08a0d1f1df32,Individual,I,F,Lia Studer,+41 33 230 46 84,1994-04-30,"Schnyderstrasse 28
7552 Locarno",2010-06-30,
b1b3dcbe-c677-40a3-9563-783d1f0c7e36,Individual,I,F,Joy Käser,022 948 72 60,1952-09-11,"Küngstrasse 44
3778 Onex",2013-11-18,
fb1c9bc6-d050-4ad6-9f92-61695468ce01,Individual,I,,Naomi Schaub,+41 33 482 40 21,1984-08-30,"Bergerstrasse 42
7429 Brig-Glis",2019-06-27,
62eb68aa-e770-445a-9279-c06c71aa5c10,Individual,I,M,Muhammed Hauser,071 358 73 09,2001-08-12,"Stutzstrasse 98
5442 Muri",2019-05-13,
a9b224ef-97a7-472e-9aa2-b135513322d0,Individual,I,F,Klara Hasler,031 574 80 12,1977-06-29,"Flückigerstrasse 84
7458 Brig-Glis",2011-06-14,
b39e337a-25a9-4442-8e78-0b8116767160,Individual,S,,,,,,2015-09-28,
cf9b33e4-b6c3-4dc7-97a4-77239e5e8270,Individual,I,F,Ramona Furrer,034 974 96 08,1971-12-25,"Benzstrasse 7
1473 Amriswil",2011-12-08,
e3188f62-e061-450d-8d44-5acd08be259d,Individual,I,M,Santiago Baumann,061 843 16 06,1996-05-24,"Kohlerstrasse 57
5546 Allschwil",2018-10-23,
53b02333-1692-49ef-a206-7e24ce2895a9,Individual,I,F,Luana Gerber,022 117 27 98,1950-03-31,"Knechtstrasse 15
5858 Basel",2010-10-21,
14734b53-51f3-46e2-8361-faf5b8c00fc5,Individual,S,,,,,,2019-08-30,
c7f1f5a0-1265-4364-a8bd-1f36c1cec2a5,Individual,I,F,Ingrid Tobler,+41 21 724 94 93,1953-07-16,"Reystrasse 60
7825 Uster",2017-02-24,
83fa2802-6419-4e09-8f8b-8e5c5a6c2c18,Individual,I,F,Magali Zimmermann,+41 52 299 21 51,1970-09-12,"Bühlmannstrasse 1
7269 Sursee",2011-10-23,
fec8979e-08fe-4ff0-b7ad-0e0b91d6fda1,Individual,I,F,Gaëlle Hafner,+41 61 822 40 11,1960-05-09,"Gutstrasse 69
6112 Ebikon",2018-09-14,
7beef6ff-6f63-48a2-8df3-89191ddb7116,Individual,I,F,Ilse Meister,027 837 80 48,1956-07-19,"Kälinstrasse 66
9106 Winterthur",2019-04-13,
